"","treatment","sampling","mean_richness","sd_richness","mean_abundance","sd_abundance","mean_Y_zipf","sd_Y_zipf","mean_mu_log","sd_mu_log","mean_sigma_log","sd_sigma_log","cv_richness"
"1","c","0",13.25,4.19324854180304,93.9944202349375,23.990990230081,-1.18101642763669,0.33749358214285,1.42676584963351,0.341578600539318,1.14183060191105,0.291808107678382,0.316471588060607
"2","c","1",14.5,3.41565025531987,89.9484541062802,24.6161511704823,-1.12515708944762,0.462528961122469,1.23927468439579,0.176733742395481,1.12178993980366,0.442267462903899,0.235562086573784
"3","c","2",12.75,2.98607881119482,78.5340591397849,18.6278152319338,-0.954736254483322,0.31742649519549,1.46158032031608,0.227480029352685,0.910364242167272,0.293400527171972,0.234202259701554
"4","c","3",8.25,3.09569593683445,64.515625,24.8149597332436,-1.30022748739283,0.451038318856734,1.60059661386837,0.403882821387985,1.15909328339167,0.315317989163515,0.375235871131449
"5","c","4",5.25,0.5,61.5,20.5345237750153,-1.1491248328876,0.543566349579501,2.0858121785935,0.616924263013141,0.946804611700676,0.475753606472625,0.0952380952380952
"6","c","5",6,1.15470053837925,85.625,32.6276339932886,-1.3200680313732,0.583907834581029,2.15027862897873,0.622921969051783,1.12523967295493,0.540306563032345,0.192450089729875
"7","c","6",4.25,1.70782512765993,43.5,16.0519988371127,-1.43151576215187,0.599683589276883,2.02689521254469,0.127533197800067,1.03595991635572,0.419086009108002,0.40184120650822
"8","c","7",4.75,1.25830573921179,61,23.8047614284762,-1.80270392508045,1.03187145547439,1.96034327397458,0.552368489898293,1.37791513402834,0.694453912453226,0.264906471413009
"9","c","8",7,1.4142135623731,72.375,14.3954564591286,-1.44348250487075,0.429549189181318,1.71670042334328,0.261875634486963,1.34593757719678,0.412251638616178,0.202030508910442
"10","c","9",8,2.44948974278318,87.75,19.3627649540727,-1.64762963345794,0.457509801953009,1.59221948387254,0.456954334036636,1.54819558450637,0.432992758590545,0.306186217847897
"11","c","10",8.75,2.98607881119482,89.375,13.3627280148928,-1.70508693254564,0.595620824421572,1.42492550941035,0.555328454290671,1.65056537970224,0.576167281355484,0.341266149850836
"12","c","11",11.25,1.25830573921179,89.625,15.3697484256141,-1.58640020199339,0.55372430869218,1.04936217102884,0.373475941274136,1.5894746939684,0.595393743496564,0.111849399041048
"13","c","12",12.75,2.21735578260835,75.9375,21.4984253299321,-1.33035749665885,0.334914077275342,1.01425028173498,0.238224642859124,1.3348691878599,0.397631055159301,0.173910257459478
"14","c","13",15,2.58198889747161,109.5,3.41565025531987,-1.42434212530373,0.111382785148709,1.08043622800975,0.38011429529262,1.47337723471532,0.171808263548718,0.172132593164774
"15","c","14",14.75,1.70782512765993,104.25,4.64578662158878,-1.77483728021345,0.215703628502186,0.542223820444992,0.336937724471735,1.87825982527808,0.245974854798648,0.115784754417623
"16","c","15",15.25,1.5,97,6.48074069840786,-1.55847616722476,0.333992847573293,0.726607411471136,0.348951700571616,1.63711487373306,0.347869363058818,0.0983606557377049
"17","c","16",16,2,109,6.73300329224139,-1.63632264120033,0.142797935315796,0.658172689359326,0.391080148590217,1.75124921565148,0.194771088440908,0.125
"18","c","17",14.75,2.5,98,18.4210025061975,-1.51400750036359,0.269595978283711,0.844620247184985,0.49978329739584,1.57533396139561,0.319830946817718,0.169491525423729
"19","w","0",9.75,2.87228132326901,99.3599431818182,10.5136080067072,-1.60352212384066,1.12518782683728,1.31984070721296,1.19190524308806,1.61357076898395,1.15240750350815,0.294592956232719
"20","w","1",10.5,2.38047614284762,85.2292350848385,23.1684089841881,-1.30158337260786,0.515000053333376,1.42275804803677,0.70079738750191,1.28785686764817,0.507048525404614,0.226712013604535
"21","w","2",10.75,2.87228132326901,67.6422161172161,22.598695719358,-1.13118535217872,0.179386776766017,1.3502400441851,0.363396361553948,1.08529843796613,0.143168353250791,0.267188960304094
"22","w","3",9,1.4142135623731,62.8375,19.6075400037843,-1.35779092338726,0.251346807199267,1.28368599022425,0.202477289672912,1.28548268078225,0.279932388684093,0.157134840263677
"23","w","4",6.5,1.29099444873581,54.125,16.4234334615715,-1.53757474763386,0.600285028459389,1.43208186333353,0.278014854385183,1.39904145286967,0.540772827631533,0.198614530574739
"24","w","5",5.5,2.08166599946613,60.875,13.978405965393,-1.52732111892954,0.572816552599887,2.00265090082499,0.54141894780735,1.21902464500749,0.323569887439294,0.37848472717566
"25","w","6",4,1.15470053837925,39.5,14.8211560502771,-0.982079480740564,0.290779285521466,2.08939581495206,0.591952255228278,0.74509165595861,0.28990174440018,0.288675134594813
"26","w","7",4.25,2.62995563967658,43.125,7.50971592893722,-1.61607337201701,0.835708605324864,2.09273974746468,0.696854654215645,1.15250482528469,0.506625649201424,0.618813091688608
"27","w","8",4.75,2.5,68.75,32.3869829818504,-1.73345709733432,0.627301781696587,2.27975986300115,1.04946836338405,1.27855850953809,0.219604708340238,0.526315789473684
"28","w","9",6.25,0.957427107756338,75.95,25.113276701113,-1.87934029224874,0.337099066010646,1.57094943875809,0.480901590399888,1.70073514378327,0.289769061313008,0.153188337241014
"29","w","10",6,1.4142135623731,82.5,24.5865817062885,-2.11344198598146,0.398819555902061,1.51614658951126,0.535987900791056,1.92583582358457,0.420114768770061,0.235702260395516
"30","w","11",8.5,1.29099444873581,84.03125,19.4936888825589,-2.02426169233242,0.947886302226959,0.934954544182028,0.987691153118735,1.98710810316785,1.01886688537584,0.151881699851271
"31","w","12",9.5,2.88675134594813,94.875,21.8646404040862,-1.57401954513742,0.779314977866578,1.35073864245128,0.857500663372248,1.57941924848238,0.848602744358043,0.303868562731382
"32","w","13",10.25,2.5,103.909090909091,12.5058663920128,-1.69240972328937,0.527741062769417,1.27298394589542,0.43734293419611,1.68568850006847,0.5467081818043,0.24390243902439
"33","w","14",13,2.16024689946929,112.75,7.9320026895272,-1.69607891728341,0.248694274717306,0.938346370832454,0.308617526150505,1.78210356406576,0.249704787705523,0.166172838420714
"34","w","15",12.25,2.21735578260835,106.75,5.43905629069357,-1.60296349033898,0.660448351700178,1.00884116588554,1.0488447424225,1.6645818922158,0.724596581093239,0.181008635314967
"35","w","16",10.75,1.89296944860009,108.75,5.7373048260195,-1.65893974234318,0.45973942095693,1.22132757464143,0.694833844826337,1.67074426867011,0.490588418873633,0.176090181265125
"36","w","17",10.25,2.5,105.25,5.18812747209113,-1.9726103572262,0.424613079228216,0.947447286463895,0.297055279228026,2.03296440414213,0.428782360486297,0.24390243902439
"37","p","0",10.25,3.86221007541882,94.838986013986,15.12826960282,-1.8632904523604,1.29929041468918,1.21517623476273,0.669177826776249,1.75588377619279,1.10229323442099,0.37680098296769
"38","p","2",3,1.63299316185545,3.025,1.41509716980849,NA,NA,NA,NA,NA,NA,0.544331053951817
"39","p","3",7,3.74165738677394,29.28125,17.3079867763411,-0.98770801728398,0.247526257987468,1.04082326108149,0.591239348552459,0.820334801225677,0.215136613378117,0.534522483824849
"40","p","4",8.5,1.91485421551268,47.9166666666667,22.7504578708503,-0.83730576053478,0.233181332341845,1.41529662156004,0.495654033908053,0.768486655437079,0.218326778897843,0.225276966530903
"41","p","5",9.5,2.38047614284762,83.3785714285714,28.0062395866049,-1.06126025283794,0.242711069290992,1.75472316386974,0.486759478180569,1.00177705702809,0.221421581183531,0.250576436089223
"42","p","6",9.5,2.08166599946613,94.25,23.907809045024,-1.23937207079138,0.131623853761559,1.74748550542593,0.130139574405885,1.19244868279022,0.170355006557398,0.219122736785909
"43","p","7",10.5,1.29099444873581,103,17.4547032821147,-1.17325164520706,0.165145140443764,1.77240722963846,0.362013818392766,1.11760765890644,0.166382637727899,0.122951852260553
"44","p","8",12.5,2.08166599946613,104.947916666667,7.22147765926983,-1.19365952078255,0.10966537046264,1.56331239971084,0.234287449892827,1.17727427173701,0.136519266737505,0.166533279957291
"45","p","9",12.75,2.98607881119482,92.96875,10.7608351402977,-1.02772782807541,0.20120775324496,1.58033595281934,0.156033198743735,0.995259955901724,0.210801231292173,0.234202259701554
"46","p","10",13.5,3.1091263510296,87.125,5.79331511312823,-1.06805054273966,0.218135150449521,1.41822165800255,0.193521890365989,1.05757810149467,0.196561673826365,0.230305655631823
"47","p","11",15.5,3.1091263510296,80.9791666666667,20.2128001936067,-0.697264357199149,0.226772520366704,1.40528457403227,0.217554829685681,0.711311319990564,0.266145224597486,0.20058879684062
"48","p","12",13.75,1.89296944860009,77,7.53878858526576,-0.684020596002584,0.146000611081987,1.52351112408751,0.0442054478691562,0.672572448328672,0.137871866431014,0.137670505352734
"49","p","13",17,1.4142135623731,106.25,5.56027577253743,-0.800348001841708,0.191817189838289,1.51001682514104,0.171308237100788,0.827916825450005,0.226231417081466,0.0831890330807703
"50","p","14",17.75,1.5,99.5,11.1504857891185,-0.893773081200629,0.173830286439155,1.31821486858034,0.145257689207245,0.933552244623757,0.203161589763534,0.0845070422535211
"51","p","15",18.25,4.27200187265877,96.2,9.12286504704891,-0.826143611910593,0.158729995708099,1.32705380275376,0.33576763822046,0.874240185041387,0.174779022139328,0.234082294392261
"52","p","16",16.5,1.91485421551268,96,19.7146307768283,-1.02054989915283,0.11711375526345,1.24896546316873,0.233842062323672,1.05625521785018,0.149649415690392,0.116051770637132
"53","p","17",14.5,3.41565025531987,101.75,12.9711217710728,-1.03283184708809,0.202722193405377,1.48546240283607,0.414075313890431,1.03215131666862,0.213734435643024,0.235562086573784
"54","wp","0",10.25,2.21735578260835,83.7074765718644,3.41653493679961,-1.35730071105922,0.481977183465797,1.41942075975348,0.31795713353133,1.33299569750234,0.466912194894467,0.216327393425204
"55","wp","2",3.75,2.3629078131263,5.925,3.23251707909899,-1.13436354233798,1.23688391998553,0.438278758061414,0.426465026145996,0.726161950509089,0.726268681246682,0.630108750167014
"56","wp","3",6.25,1.5,36.4807692307692,14.08587007253,-1.73265901098725,0.928180962713827,0.966349969786945,0.31601329040654,1.50283092295012,0.772011500342907,0.24
"57","wp","4",5.5,1,38.6130952380952,12.2304091576392,-1.21390178183799,0.524737669340397,1.54260530083128,0.393660304823878,1.03828313786212,0.467991841950079,0.181818181818182
"58","wp","5",6,0.816496580927726,67.1666666666667,14.2925777163456,-1.31932112175854,0.776729192354169,1.90445422284233,0.555148997643184,1.14035058599256,0.704074230870026,0.136082763487954
"59","wp","6",5.25,0.957427107756338,37.7083333333333,4.06970514902493,-1.45572569973956,0.600843662900101,1.52181860746098,0.309009822359161,1.20578218520372,0.452262721833392,0.182367068144064
"60","wp","7",5,0.816496580927726,43.6875,12.6051824659542,-1.22928406817073,0.0356298453426667,1.83348742391655,0.0707135073031872,1.01168229295453,0.0531207092434875,0.163299316185545
"61","wp","8",6.25,1.25830573921179,66.3541666666667,15.0850022097004,-1.56579065714035,0.69679482844827,1.67022879695711,0.675482717538602,1.40619498805949,0.676848517941042,0.201328918273887
"62","wp","9",7.75,2.21735578260835,65.3928571428571,14.4237969469674,-1.52011878087649,0.638903367211491,1.43985033508322,0.390012794054989,1.4118075754853,0.568950422554615,0.286110423562367
"63","wp","10",8.25,4.27200187265877,68.1022727272727,13.3079842539575,-1.70333548509688,1.13241501246888,1.37448354896429,0.612214242572041,1.52858701433058,0.989934297894507,0.517818408807123
"64","wp","11",9.5,3.41565025531987,67.4722222222222,12.477510633333,-1.34265405175094,0.587264813232414,1.39319932702602,0.408488244810341,1.25841374817196,0.537035930846414,0.359542132138933
"65","wp","12",14,0.816496580927726,95.25,14.3439882877811,-1.08619454566231,0.474254731784787,1.31315846891365,0.504868995958041,1.10734416262276,0.526012101601931,0.0583211843519804
"66","wp","13",15,1.4142135623731,117.142857142857,3.79042833183474,-1.16696108464528,0.474059413705109,1.3819677911287,0.474118114307338,1.19753242488265,0.52292946833683,0.0942809041582063
"67","wp","14",16,2.16024689946929,112.964285714286,10.1608659709156,-1.0526793079352,0.310301514238497,1.40854321427755,0.334252205583196,1.09108452018697,0.334848919470647,0.13501543121683
"68","wp","15",15.25,2.87228132326901,98.1875,5.91387845101109,-1.19072146967071,0.432611255552561,1.17519693986441,0.428450783307728,1.23644075389225,0.464296147180726,0.188346316279935
"69","wp","16",15.75,2.98607881119482,120.25,18.2825052987822,-1.15681002237025,0.480950827778997,1.35487380980714,0.415289795976254,1.21390075154082,0.497218710252277,0.189592305472687
"70","wp","17",12.25,2.21735578260835,96,5.8309518948453,-1.06624699892376,0.265951802126929,1.59330381838552,0.125814909429377,1.06986520218515,0.265702314892187,0.181008635314967
