Taxonomy,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,Tax_detail
Mortierellales,0.017793139,0.234937703,0.113244581,0.329109063,0.027905786,0.058670422,0.101809182,0.178955453,0.091653866,0.290877283,0.26416624,0.157834101,0.04676566,0.046338966,0.092976617,0.209592081,0.084613415,0.343531319,0.188641406,0.256443079,0.397849462,0.112263185,0.152628435,0.328853047,0.07078853,0.31797235,0.194487114,0.195553849,0.286567674,0.373527906,0.161674347,0.248293224,0.207373272,0.054787506,0.142174432,0.231268134,0.102235876,0.546893668,0.092549923,0.057219662,0.290493258,0.100102407,0.240527394,0.044973545,0.122034477,0.082437276,0.145289299,0.28119133,0.197047278,0.028673835,0.046125619,0.032642089,0.058841099,0.036951698,0.067545656,0.027692439,0.059865165,0.074799454,0.096390169,0.0276071,0.12608807,0.040151903,0.036866359,0.057731695,0.098480969,0.079919782,0.117852876,0.335893497,0.107526882,0.083888036,0.261563407,0.06443079,0.128989589,0.103089264,0.131805769,0.460957501,0.420976276,0.145972009,0.209805428,0.252432156,0.075951528,0.045997611,0.074628776,0.094299368,0.066692268,0.041559993,0.19901007,0.111409797,0.086746885,0.037122376,0.298728452,0.128477556,0.070063151,0.242874211,0.083333333,0.073092678,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;
Eurotiales,0.040322581,0.032428742,0.229049326,0.020822666,0.178358082,0.03259942,0.032471412,0.081797235,0.062467998,0.026156341,0.011947431,0.103259942,0.103899983,0.088539,0.098523639,0.05380611,0.047619048,0.062425329,0.090800478,0.045400239,0.046381635,0.022529442,0.022230756,0.027564431,0.040237242,0.026839051,0.011008705,0.071129886,0.084186721,0.066948285,0.059609148,0.069124424,0.054958184,0.034775559,0.036268988,0.021078682,0.048941799,0.018305172,0.012630142,0.110215054,0.067545656,0.068185697,0.012416795,0.096774194,0.069124424,0.461810889,0.04036525,0.043010753,0.149342891,0.047149684,0.051928657,0.099803721,0.027180406,0.025260283,0.017793139,0.064217443,0.182667691,0.044333504,0.0177078,0.064260113,0.058457075,0.148788189,0.026839051,0.112092507,0.075610172,0.103771975,0.098267622,0.051160608,0.046808329,0.021889401,0.050349889,0.050435228,0.079237071,0.038658474,0.031447346,0.066478921,0.039085168,0.351382488,0.044034818,0.082223929,0.140040963,0.031404677,0.047619048,0.048984468,0.063364055,0.019499915,0.015446322,0.097627581,0.129757638,0.085168117,0.028716505,0.089051033,0.104924048,0.125490698,0.02547363,0.032471412,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;
Hypocreales,0.22520908,0.196449906,0.198583376,0.209464072,0.172469705,0.245989077,0.220430108,0.286567674,0.353089264,0.158303465,0.19901007,0.275772316,0.28042328,0.193847073,0.219107356,0.302611367,0.202210275,0.212664277,0.204855777,0.238905957,0.120285032,0.236601809,0.163338454,0.337941628,0.203362349,0.170080218,0.227982591,0.249487967,0.246970473,0.184886499,0.218381976,0.288487797,0.256528418,0.316905615,0.285671616,0.240442055,0.21036013,0.123186551,0.10343062,0.430064857,0.199394095,0.313364055,0.196279229,0.387736815,0.318441714,0.229689367,0.276241679,0.331754566,0.250512033,0.253114866,0.272017409,0.320404506,0.208824031,0.219278034,0.332906639,0.427632702,0.288487797,0.260368664,0.269243898,0.460957501,0.349718382,0.295400239,0.318228367,0.403268476,0.370839734,0.386584741,0.284263526,0.24500768,0.244708995,0.202039597,0.192054958,0.222222222,0.313406725,0.157023383,0.255589691,0.203405018,0.264763612,0.204002389,0.307561017,0.332607954,0.334869432,0.192182966,0.247994538,0.293394777,0.274662912,0.166581328,0.270054617,0.348011606,0.299325824,0.29181601,0.153609831,0.34984639,0.346859532,0.26484895,0.373442567,0.279697901,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;
Pleosporales,0.337173579,0.101851852,0.098182284,0.104966718,0.146697389,0.18198498,0.150622973,0.141449053,0.151305684,0.088453661,0.088965694,0.158687489,0.11896228,0.134664619,0.078895716,0.081071855,0.207714627,0.074884793,0.082778631,0.137096774,0.133000512,0.130824373,0.185611879,0.072922,0.099419696,0.141107698,0.135859362,0.131805769,0.058542413,0.070489845,0.11827957,0.086106844,0.153140468,0.153865847,0.115719406,0.148233487,0.106758833,0.052227343,0.427120669,0.163338454,0.113927291,0.136030039,0.152073733,0.139400922,0.127026796,0.057859703,0.081541219,0.084485407,0.104625363,0.164106503,0.172000341,0.117426182,0.181430278,0.201186209,0.168885475,0.190646868,0.080559822,0.188214712,0.145545315,0.138376856,0.102833248,0.102107868,0.123826592,0.107142857,0.167050691,0.096560847,0.091995221,0.116956819,0.141065028,0.171317631,0.084442738,0.262118109,0.16291176,0.076292883,0.145801331,0.061657279,0.094470046,0.15011094,0.069849804,0.063492063,0.155487285,0.081242533,0.13317119,0.107356204,0.181899642,0.103515958,0.080389145,0.142473118,0.12254651,0.114225977,0.082735962,0.098779655,0.112135177,0.105094726,0.048045742,0.057518348,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;
Glomerellales,0.052184673,0.144137225,0.097798259,0.050648575,0.116103431,0.300477897,0.205581157,0.028460488,0.074628776,0.143113159,0.229689367,0.059950503,0.091483188,0.180064857,0.256272401,0.017793139,0.126941458,0.119730329,0.116956819,0.054147465,0.047277692,0.305768903,0.198839392,0.011179382,0.057817034,0.119943676,0.222307561,0.022742789,0.036012971,0.078255675,0.202124936,0.025004267,0.075823519,0.128050862,0.090331115,0.051800649,0.037719747,0.131123059,0.090117768,0.033538146,0.077359618,0.139059566,0.194444444,0.063108039,0.042712067,0.043992149,0.128136201,0.018603857,0.021633385,0.216589862,0.036226318,0.058585083,0.027735108,0.257339136,0.082351937,0.02197474,0.030167264,0.180363543,0.129672299,0.016342379,0.031404677,0.076250213,0.091739205,0.066990954,0.069337771,0.095280765,0.144649258,0.037122376,0.075140809,0.279825909,0.141705069,0.015190306,0.032428742,0.07014849,0.192054958,0.009429937,0.035671616,0.035330261,0.119175627,0.036909029,0.053422086,0.133811231,0.147849462,0.065326848,0.078810377,0.178358082,0.182283666,0.026540365,0.034647551,0.123485236,0.130184332,0.051288616,0.084400068,0.072153951,0.186550606,0.217997952,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;
Onygenales,0.001280082,0.009557945,0.005077658,0.006955112,0.010112647,0.007467145,0.003925585,0.00422427,0.011734084,0.003840246,0.009301929,0.005504352,0.036695682,0.022614781,0.009088582,0.004394948,0.004437617,0.006229732,0.007296467,0.008832565,0.006997781,0.008789896,0.011179382,0.001920123,0.008704557,0.007125789,0.006741765,0.015232975,0.005760369,0.006272401,0.004864311,0.010155317,0.004480287,0.006699095,0.008405871,0.006101724,0.008235194,0.003072197,0.002389486,0.004864311,0.006315071,0.008064516,0.003370882,0.003968254,0.009387267,0.004010923,0.005034989,0.007509814,0.003029527,0.010283325,0.0078085,0.007552483,0.003413552,0.003242874,0.005248336,0.008149855,0.003925585,0.00567503,0.00285885,0.005419013,0.00640041,0.005376344,0.001877453,0.007296467,0.011136713,0.007339136,0.009515276,0.004693634,0.010710019,0.005845707,0.007040451,0.002005462,0.020054617,0.005461683,0.015232975,0.00285885,0.00499232,0.004053593,0.005973716,0.007381806,0.004181601,0.304702168,0.016641065,0.013014166,0.007723161,0.007595153,0.005888377,0.007040451,0.006187063,0.004821642,0.003157535,0.004864311,0.006827104,0.004437617,0.001365421,0.008277863,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;
Capnodiales,0.021121352,0.007339136,0.00140809,0.002901519,0.001749445,0.002432156,0.002346817,0.011990101,0.00917392,0.042925414,0.020182625,0.01062468,0.069977812,0.0078085,0.016641065,0.009856631,0.036183649,0.005120328,0.002474825,0.006571087,0.002005462,0.002304147,0.033068783,0.001365421,0.049283154,0.022316095,0.010966035,0.050733914,0.039725209,0.034860898,0.033026114,0.015915685,0.036055641,0.013398191,0.02974057,0.022401434,0.202380952,0.013526199,0.086746885,0.000853388,0.049709848,0.011520737,0.030849974,0.016043693,0.005120328,0.003797576,0.063876088,0.024449565,0.068569722,0.027308414,0.086960232,0.124466633,0.20327701,0.078725038,0.072196621,0.021036013,0.082266598,0.038146441,0.087685612,0.080474484,0.033708824,0.165813279,0.269073221,0.011478068,0.010368664,0.003242874,0.009984639,0.007936508,0.129885646,0.003285544,0.008448541,0.128520225,0.024705581,0.001365421,0.00853388,0.010069978,0.001536098,0.022316095,0.03609831,0.009728623,0.002432156,0.00072538,0.001280082,0.000981396,0.003114866,0.002688172,0.001280082,4.27E-05,0.008107186,0.0020908,0.002560164,0.00213347,0.00068271,0.001109404,0.019585253,0.004181601,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;
Agaricales,0.00213347,0.115292712,0.016811743,0.007296467,0.004906981,0.00499232,0.003413552,0.00285885,0.015745008,0.001706776,0.000512033,0.012374125,0.001834784,0.005120328,0.005973716,0.000853388,0.009557945,0.005547022,0.009515276,0.00994197,0.006571087,0.002474825,0.004821642,0.006485748,0.232462878,0.004522956,0.002944188,0.044376173,0.001792115,0.006912442,0.003754907,0.005717699,0.00426694,0.01702509,0.010496672,0.006784434,0.02052398,0,0.016385049,0.005717699,0.032130056,0.002730841,0.001578768,0.002986858,0.005589691,0.003200205,0.003157535,0.003797576,0.003370882,0.005888377,0.016043693,0.005931046,0.00072538,0.002474825,0.002602833,0.00917392,0.040578597,0.009344598,0.003669568,0.011435399,0.00921659,0.004053593,0.001578768,0.003029527,0.003370882,0.010838027,0.008789896,0.004181601,0.011563407,0.002432156,0.002005462,0.005162997,0.006187063,0.000853388,0.001920123,0.012374125,0.001962792,0.0020908,0.001322751,0.002730841,0.00281618,0.006955112,0.006613757,0.014464926,0.00213347,0.001877453,0.003200205,0.002517494,0.019243898,0.000469363,0.000768049,0.01348353,0.00640041,0.002986858,0.002218809,0.002688172,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;
Sordariales,0.01843318,0.032044718,0.058115719,0.04181601,0.081925243,0.062425329,0.144777266,0.026113671,0.054104796,0.105478751,0.060718553,0.025729647,0.034946237,0.063492063,0.028972521,0.064644137,0.040237242,0.021334699,0.03255675,0.028929852,0.096176822,0.041346646,0.066692268,0.128093531,0.024705581,0.056110258,0.025985663,0.017622461,0.040322581,0.042242704,0.02833248,0.042541389,0.042797406,0.043053422,0.04813108,0.028161802,0.074884793,0.060078512,0.089520396,0.030679297,0.030721966,0.05879843,0.024278887,0.081754566,0.035884963,0.037165045,0.056366274,0.04672299,0.035500939,0.029441884,0.030337942,0.040834613,0.041346646,0.051501963,0.069252432,0.0354156,0.021292029,0.054702168,0.050776583,0.028076464,0.069337771,0.037890425,0.018049155,0.04249872,0.030167264,0.047832395,0.025260283,0.038573135,0.03609831,0.094726062,0.120242362,0.020438641,0.032002048,0.225081072,0.045997611,0.057219662,0.035799625,0.022742789,0.046125619,0.027137737,0.027948455,0.025046936,0.027308414,0.053720771,0.065582864,0.054062127,0.060249189,0.032130056,0.026455026,0.151006998,0.034775559,0.0375064,0.02764977,0.038530466,0.02193207,0.02056665,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;
Helotiales,0.046637651,0.010795358,0.04463219,0.040962622,0.012374125,0.007637822,0.010283325,0.052910053,0.022444103,0.020097286,0.008576549,0.020054617,0.007893839,0.010838027,0.044461512,0.019926609,0.032215395,0.00354156,0.006528418,0.014379587,0.003712238,0.005931046,0.006315071,0.002474825,0.018561188,0.004480287,0.010411333,0.012886158,0.003840246,0.002517494,0.005760369,0.009600614,0.013568868,0.006315071,0.009387267,0.006741765,0.005931046,0.002432156,0.002005462,0.007296467,0.017153098,0.008064516,0.013739546,0.016683734,0.00499232,0.001749445,0.005248336,0.006187063,0.003456221,0.027009729,0.005376344,0.011904762,0.003328213,0.00354156,0.003626899,0.009429937,0.010027308,0.006187063,0.009259259,0.007680492,0.003626899,0.003029527,0.001152074,0.005248336,0.019670592,0.011264721,0.005077658,0.008661888,0.0078085,0.006656426,0.004437617,0.083290664,0.01629971,0.001664107,0.004522956,0.009728623,0.002645503,0.002901519,0.00426694,0.004821642,0.03328213,0.012587472,0.036439665,0.023297491,0.055640894,0.224441031,0.025260283,0.021889401,0.018945212,0.031959379,0.003114866,0.012630142,0.013696877,0.002730841,0.00917392,0.033154122,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;
Microascales,0.01203277,0.003626899,0.021846732,0.045784264,0.06515617,0.015360983,0.011051374,0.027905786,0.029228537,0.012587472,0.01271548,0.020225294,0.06443079,0.028204472,0.034818228,0.05384878,0.008149855,0.008960573,0.09984639,0.050904591,0.018689196,0.014507595,0.013312852,0.007424475,0.015403653,0.020438641,0.008277863,0.024449565,0.076719577,0.009387267,0.022230756,0.032812767,0.008661888,0.009429937,0.015147636,0.017665131,0.010838027,0.008277863,0.012928827,0.023126813,0.007467145,0.02056665,0.013782215,0.031788701,0.04036525,0.004864311,0.03469022,0.020651988,0.05244069,0.007680492,0.015190306,0.02265745,0.005803038,0.005504352,0.007723161,0.015915685,0.011520737,0.012246117,0.009344598,0.013184844,0.03114866,0.008704557,0.011563407,0.037933094,0.008960573,0.013312852,0.00849121,0.037847756,0.013270183,0.004778973,0.024662912,0.011136713,0.02124936,0.014763612,0.01625704,0.009771292,0.009856631,0.00145076,0.017878478,0.052654037,0.007979177,0.009856631,0.013398191,0.057262331,0.012075439,0.01348353,0.026668373,0.031660693,0.014251579,0.026583035,0.018347841,0.038487797,0.045528247,0.006443079,0.005717699,0.017750469,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;
Tremellales,0.06938044,0.00213347,0.000341355,0.001237413,0.005205666,0.002944188,0.00354156,0.002261478,0.001962792,0.004778973,0.006187063,0.004010923,0.003328213,0.007424475,0.002560164,0.003328213,0.037634409,0.001194743,0.002688172,0.002688172,0.000768049,0.000512033,0.010880696,0.00068271,0.017110428,0.000640041,0.007936508,0.011904762,0.000938727,0.000597372,0.004394948,0.003840246,0.013867554,0.005931046,0.006016385,0.051971326,0.000469363,0.001194743,0.003925585,0.000298686,0.01271548,0.000512033,0.003413552,0.001920123,0.001237413,0.000298686,0.002474825,0.00145076,0.009771292,0.006912442,0.009515276,0.020225294,0.09276327,0.014720942,0.018774535,0.006656426,0.013782215,0.002261478,0.018347841,0.006656426,0.004394948,0.012160778,0.003328213,0.001536098,0.001664107,0.000640041,0.001024066,0.00140809,0.006144393,0.000640041,0.001066735,0.010838027,0.002346817,0.000213347,0.000768049,0.00140809,0.000640041,0.000768049,0.006827104,0.00140809,0.003584229,0.000853388,0.004309609,0.002304147,0.00140809,0.000554702,0.003285544,0.000938727,0.006059054,0.001024066,0.003456221,0.003114866,0.002218809,0.000810719,0.006827104,0.007595153,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;
Archaeorhizomycetales,0.000640041,0.007936508,0.009600614,0.012118109,0.011990101,0.000597372,0.001493429,0.007125789,0.000810719,0.000512033,0.003882915,0.009813961,0.001792115,0.006997781,0.000810719,0.001152074,0.001920123,0.006315071,0.016811743,0.007211128,0.009643284,0.000384025,0.001194743,0.00072538,0.008960573,0.001322751,0.002176139,0.002944188,0.002474825,0.007467145,0.000512033,0.003498891,0.000170678,0.010411333,0.010240655,0.007381806,0.006272401,0,0.001834784,0.00422427,0.000810719,0.000554702,0.001237413,0.005419013,0.008917904,0.002773511,0.001109404,0.002432156,0.000213347,0.001578768,0.067801673,0.001920123,0.003498891,0,0.001152074,0.000896057,0.005077658,0.000256016,0.009856631,0.002005462,0.000384025,0.001152074,0.000981396,0.000213347,0.000213347,0.009003243,0.004437617,0.000554702,0.000597372,0.000298686,0,0.000810719,0.000256016,0.000213347,0.001749445,0.000853388,0.001066735,0.001322751,0.000170678,0.001109404,0.000128008,0.001280082,0.007467145,0.01348353,0.003712238,0.00068271,0.000170678,0.000810719,0.000256016,0,0.000170678,0.002688172,0.000213347,0.000853388,0.000469363,0.000554702,k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;
Rozellomycota_ord_Incertae_sedis,0.002261478,0.000810719,0.000170678,0.001365421,0.000896057,0.001152074,0.000469363,0.001536098,0.0020908,0.00072538,0.000256016,0.002218809,0.00145076,0.00068271,0.000640041,0.000896057,0.006272401,0.000554702,0.000512033,0.002773511,0.000384025,0.000170678,0.000640041,0.00145076,0.001109404,0.000640041,0.001152074,0.000853388,0.000384025,0.00072538,0.000469363,0.002218809,0.001664107,0.001066735,0.001365421,0.000853388,0.000810719,4.27E-05,0.000213347,0.000213347,0.000597372,0.002645503,0.000768049,0.00145076,0.001322751,0.000170678,0.00072538,0.001962792,0.000341355,0.000298686,0.000341355,0.000554702,0.000810719,0.000256016,0.000128008,0.000512033,0.000170678,0.002773511,0.000810719,0.00072538,0.000512033,0.000341355,0.000384025,0.000512033,0.002304147,0.000981396,0.001621437,0.00068271,0.002773511,0.00072538,0.001066735,0.00494965,0.001365421,0.000256016,0.00145076,0.001237413,0.000597372,0.000469363,0.000938727,0.001365421,0.015275644,0.000896057,0.002986858,0.006528418,0.011008705,0.002261478,0.001493429,0.009685953,0.01625704,0.003370882,0.000853388,0.004437617,0.014379587,0.002773511,0.011094043,0.064388121,k__Fungi;p__Rozellomycota;c__Rozellomycota_cls_Incertae_sedis;o__Rozellomycota_ord_Incertae_sedis;
Corticiales,0.0630227,0,0.000213347,0,0,0,0,0,0,0,0,0,0,8.53E-05,0,0,0.01911589,0,0,0,0,0,0,0,0,0.000810719,0,0,0,0,0,0,0.004394948,0,0.00213347,0,8.53E-05,0,0,0,0,0,0,0.000213347,0,0,0,0,0.011051374,0.000853388,0.00145076,0,0.000384025,0,0,4.27E-05,0.014976959,8.53E-05,0,0,0.000170678,0,0.000298686,0,0,0,0,0.000128008,0,0,0,4.27E-05,0,0,8.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,0,0,0,0,4.27E-05,0,0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;
