feature,A2f,A7f,A11f,A14f,A3f,A6f,A10f,A15f,A1f,A8f,A9f,A16f,A4f,A5f,A12f,A13f,B2f,B7f,B11f,B14f,B3f,B6f,B10f,B15f,B1f,B8f,B9f,B16f,B4f,B5f,B12f,B13f,C2f,C7f,C11f,C14f,C3f,C6f,C10f,C15f,C1f,C8f,C9f,C16f,C4f,C5f,C12f,C13f,D2f,D7f,D11f,D14f,D3f,D6f,D10f,D15f,D1f,D8f,D9f,D16f,D4f,D5f,D12f,D13f,E2f,E7f,E11f,E14f,E3f,E6f,E10f,E15f,E1f,E8f,E9f,E16f,E4f,E5f,E12f,E13f,F2f,F7f,F11f,F14f,F3f,F6f,F10f,F15f,F1f,F8f,F9f,F16f,F4f,F5f,F12f,F13f,description
Dung_Saprotroph,0,0,4.27E-05,0.000554702,0.005931046,4.27E-05,0.002688172,0.005504352,0.001365421,0,0.002261478,0.000384025,0,0.001237413,0.000853388,0.005504352,0.000853388,0,0,0.002176139,0.002005462,0.001024066,4.27E-05,0.001920123,0.003584229,0.002432156,0,0.000256016,0.000810719,0.000768049,8.53E-05,0.001664107,0.001066735,4.27E-05,0.00145076,0.001493429,0.000256016,0.000896057,0,0.003200205,0.000512033,0.001706776,4.27E-05,0.007893839,0.000853388,0,0.000896057,0.005931046,0.000768049,0,0.004565626,0.000853388,0.001194743,0.000896057,0,0.001322751,0.001706776,0.000469363,0.000213347,0.001792115,0.002176139,0.000640041,0.000213347,0.003456221,0.000213347,0.002176139,0.000469363,0.013142174,0.000426694,0.002389486,0.001024066,0.00145076,0.008149855,0.001194743,0.001664107,0.001322751,0.000512033,0.000213347,0.004864311,0.001962792,0.002688172,0,0.000981396,0.000170678,0.011179382,0.002730841,0.000597372,0.0020908,0.000640041,0.002517494,0.000426694,0.000256016,0.000938727,0.000256016,4.27E-05,0.001365421,Dung_Saprotroph
Fungal_Parasite,0.002730841,0.005077658,0.002304147,0.005931046,0.008661888,0.00635774,0.001322751,0.004736303,0.010582011,0.005248336,0.01203277,0.00422427,0.006528418,0.006699095,0.006784434,0.00563236,0.003882915,0.000853388,0.001877453,0.003285544,0.003712238,0.000554702,0.003754907,0.001877453,0.005504352,0.001578768,0.00145076,0.005845707,0.005205666,0.006187063,0.001280082,0.003925585,0.001365421,0.006613757,0.006229732,0.00140809,0.002304147,0.004010923,0.002901519,0.001109404,0.003242874,0.008704557,0.00708312,0.00921659,0.003200205,0.00281618,0.006997781,0.001365421,0.00563236,0.005205666,0.002005462,0.006101724,0.00494965,0.003925585,0.001322751,0.007253798,0.005760369,0.002346817,0.00354156,0.006699095,0.005803038,0.004138932,0.003712238,0.012672811,0.00072538,0.001322751,0.00426694,0.001109404,0.001280082,0.000256016,0.002944188,0.000256016,0.00708312,0.002602833,0.0078085,0.000170678,0.000341355,0.000213347,0.001365421,0.000213347,0.000298686,0.00068271,0.000384025,0.012502133,0.000554702,0.003029527,0.001152074,0.007851169,0.000512033,0.001066735,0.000981396,0.009472606,0.000554702,0.00145076,0.000853388,0.000640041,Fungal_Parasite
Dung_Saprotroph-Wood_Saprotroph,0.001109404,0,0.000597372,0,0.000810719,0.000256016,0.00708312,0.000554702,0.001152074,0.000512033,0.000384025,0.000469363,0.001920123,0.000213347,0.000213347,0.001194743,0.00140809,0.000298686,0,0.000256016,0,0.00140809,0.000384025,0.000128008,0.000512033,0.001578768,0.000170678,0.001536098,0.006187063,0.000298686,0.000938727,0.001834784,0.003029527,0.000981396,8.53E-05,0.000426694,0.000768049,8.53E-05,0.000512033,0.001877453,0,0.000170678,0.000384025,0.000170678,0.012587472,0,0.000384025,0.002602833,0.001322751,0,0.000256016,0.00072538,0.000768049,0.000512033,0.004565626,0.006187063,0.000426694,0.002048131,0,0.000426694,0.002261478,0.000554702,0.000768049,0.005589691,0.006144393,0.000426694,0.000341355,0.000213347,0.003242874,0.001237413,0.000554702,0.003370882,0.000853388,0.000170678,0.000768049,0.001280082,0.00213347,8.53E-05,0.000853388,0.001280082,0.003242874,0,0.000597372,0.000597372,0.00285885,0.00072538,0.003626899,0.009771292,0.000981396,0.000213347,0,0.00285885,0.003072197,0.000128008,0.000170678,0.006016385,Dung_Saprotroph-Wood_Saprotroph
Animal_Pathogen-Undefined_Saprotroph,0.005248336,0,0.000469363,0.0098993,0.009045912,0.000170678,0.000512033,0.010325994,0.000256016,0.000213347,8.53E-05,0.012160778,0.005162997,0,0,0.001706776,0,4.27E-05,0.007211128,0.000810719,0.000298686,0.000128008,0.010880696,0,8.53E-05,0.000384025,4.27E-05,0,0,4.27E-05,0.008405871,0.001365421,0,0,0.001493429,0.000384025,0.000938727,4.27E-05,0.000128008,8.53E-05,0,0.000256016,0,0,0.000128008,0.000213347,0,0.001920123,0,0.001152074,0.00068271,0.000170678,0.000853388,8.53E-05,0.000213347,0.000298686,0.000256016,0.000213347,0,0,0,0.000426694,0.000298686,0.000981396,0,0.000298686,0.000256016,0.00068271,0.000554702,0.000512033,0.000981396,4.27E-05,8.53E-05,0.000469363,0.000298686,8.53E-05,0,0,0,0.00213347,8.53E-05,0.000128008,0.000853388,0.001920123,0.000640041,0.00072538,0.000298686,0,0.000128008,0.001024066,0,0.011606076,0.000128008,0,0,0.000938727,Animal_Pathogen-Undefined_Saprotroph
Plant_Pathogen-Undefined_Saprotroph,8.53E-05,0.00072538,0.000597372,0.000298686,0.000426694,0.000512033,8.53E-05,0.000426694,0.000597372,0,0,4.27E-05,0.000469363,0.00072538,0.000853388,0.001024066,0.000597372,0.000170678,0.000426694,0.000256016,0.001493429,0.001152074,0.001152074,0.000341355,0.000256016,0.000128008,0.000554702,0.001493429,0.000896057,0.005205666,8.53E-05,0.000384025,0.000597372,0.000554702,0.000981396,0.00072538,0.002730841,8.53E-05,0,0.003114866,0.000554702,0.000298686,4.27E-05,4.27E-05,0.002048131,0.000213347,0.002218809,0.001706776,0.000896057,0.000512033,0.001664107,8.53E-05,0.002773511,0.004138932,0.002688172,0.002304147,0.001536098,0.000128008,0.000597372,8.53E-05,0.001066735,0.000512033,0.003968254,0.001877453,0.000512033,0.001493429,0.011520737,0.000384025,0.001280082,0.001365421,0.000256016,0.001365421,0.001664107,0.000256016,0.000128008,0,0.001024066,0.001152074,0.002432156,0.00072538,0.000256016,0.000128008,0.000597372,0.000298686,0.006101724,0.000597372,0.00072538,0.002602833,0.001920123,0.000341355,8.53E-05,4.27E-05,0.002048131,0.000426694,0.000298686,0.000341355,Plant_Pathogen-Undefined_Saprotroph
Arbuscular_Mycorrhizal,0.002730841,0.003029527,0.002602833,0.002602833,0.005205666,0.00281618,0.001280082,0.003370882,0.001322751,0.000512033,0.001280082,0.001493429,0.003456221,0.00213347,0.002389486,0.001493429,0.006741765,0.006059054,0.010197986,0.006528418,0.003328213,0.005077658,0.003114866,0.001365421,0.009387267,0.003498891,0.003669568,0.005248336,0.002730841,0.003328213,0.003498891,0.006101724,0.00140809,0.008363202,0.003328213,0.002773511,0.003242874,0.000426694,0.000640041,0.001792115,0.001152074,0.001237413,0.001066735,0.00068271,0.006144393,0.000981396,0.002304147,0.00068271,0.001365421,0.003712238,0.004565626,0.001920123,0.003413552,0.001194743,0.004565626,0.002645503,0.004522956,0.003200205,0.005717699,0.002218809,0.002645503,0.001877453,0.00140809,0.001536098,0.005162997,0.004864311,0.004693634,0.002304147,0.004522956,0.00281618,0.001280082,0.002005462,0.00213347,0.00072538,0.003413552,0.00072538,0.002176139,0.00145076,0.001706776,0.001877453,0.001877453,0.001920123,0.003840246,0.001792115,0.004906981,0.001664107,0.001877453,0.0020908,0.005589691,0.001152074,0.000554702,0.002005462,0.00354156,0.00140809,0.001237413,0.002389486,Arbuscular_Mycorrhizal
Endophyte-Plant_Pathogen-Wood_Saprotroph,0.001877453,0.00140809,0.001792115,0.002730841,0.002005462,0.002346817,0.002304147,0.003242874,0.002560164,0.001066735,0.001024066,0.00281618,0.001706776,0.002773511,0.001877453,0.003626899,0.003925585,0.001962792,0.001664107,0.004522956,0.002261478,0.001749445,0.001877453,0.002218809,0.003797576,0.000554702,0.00140809,0.004352279,0.001621437,0.001578768,0.00213347,0.006571087,0.001109404,0.00213347,0.002517494,0.002986858,0.000896057,0.00068271,0.00072538,0.00354156,0.002176139,0.0020908,0.001920123,0.005034989,0.003456221,0.000469363,0.004096262,0.004309609,0.001024066,0.003114866,0.001706776,0.002560164,0.002602833,0.002730841,0.001621437,0.004138932,0.004906981,0.00354156,0.00285885,0.002773511,0.002432156,0.001109404,0.001152074,0.005291005,0.003626899,0.002474825,0.003413552,0.002432156,0.004608295,0.0020908,0.001152074,0.00426694,0.009984639,0.000426694,0.001365421,0.003584229,0.002645503,0.000938727,0.001920123,0.004736303,0.004096262,0.001194743,0.002560164,0.002901519,0.002176139,0.000640041,0.003840246,0.004010923,0.005162997,0.00426694,0.000384025,0.004864311,0.002730841,0.00072538,0.001962792,0.003072197,Endophyte-Plant_Pathogen-Wood_Saprotroph
Stem_Saprotroph-Wood_Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stem_Saprotroph-Wood_Saprotroph
Ectomycorrhizal,0.000298686,0.000128008,0.007040451,8.53E-05,0.000213347,4.27E-05,4.27E-05,4.27E-05,0.001280082,4.27E-05,4.27E-05,0.000512033,0.000170678,8.53E-05,0,0,0.001066735,0,0.002389486,0.001237413,0.001493429,0.001194743,0,0.000170678,0.007253798,0,8.53E-05,0.001536098,0.001877453,0.001664107,0,0.000128008,0.000469363,0.000469363,0.000597372,0.000426694,0.001664107,0.000853388,0,8.53E-05,0.000256016,0,0,0.000341355,0.000640041,0.000170678,0.000128008,0,0.00145076,0,0.001109404,0.000896057,0.000170678,0,0.000170678,0.000426694,0.00426694,8.53E-05,0.000128008,0.000128008,0.000384025,0.000384025,0.000213347,0,0.000384025,0.001792115,0.000256016,0.005376344,0.003370882,0,0.000128008,0,0.000341355,0,0.000128008,0,0,0.000298686,0.000597372,8.53E-05,8.53E-05,0.000170678,0.000384025,0.000298686,0.000810719,0,0.000213347,0.000341355,0.000384025,0,0,0.000512033,0.000768049,0,0,0.000128008,Ectomycorrhizal
Animal_Pathogen-Endophyte-Epiphyte-Plant_Pathogen-Undefined_Saprotroph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27E-05,0,0.000298686,0,0,0,0,0,0.005973716,0,0,0,0,0,0,0,0,0,0.000170678,0,0.000170678,0.000128008,0,0,0.000128008,0,0.001066735,0,0,0,0,0,0,0,0.000213347,0,0.000213347,0,0.000896057,0.000938727,0,0,0.000170678,0,0,0,0.000128008,0.000554702,0,0,8.53E-05,0,0,0.000640041,4.27E-05,0,0,0.000128008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animal_Pathogen-Endophyte-Epiphyte-Plant_Pathogen-Undefined_Saprotroph
Dung_Saprotroph-Endophyte-Litter_Saprotroph-Undefined_Saprotroph,0.000170678,0.000213347,0.000298686,0.000341355,0.000512033,0.001194743,0.000213347,0,0.000256016,8.53E-05,0.000128008,0.000170678,0.00068271,0.000469363,0.000128008,0.000170678,0.000469363,0,0,0.000426694,4.27E-05,4.27E-05,4.27E-05,0.000170678,0.000426694,0.000170678,8.53E-05,0,8.53E-05,0,4.27E-05,0.000170678,4.27E-05,0.001280082,8.53E-05,0.000341355,0,0.000298686,0.000170678,0.000554702,0.000256016,0.000128008,0,0.000128008,0.000170678,0,0.000384025,0,0,0.000853388,0.000256016,0.000384025,0.001109404,0.000128008,0,0.000341355,0,0.000554702,0.000384025,0,8.53E-05,0.001621437,0,8.53E-05,0.000256016,0.000384025,0,0.000128008,0,0.000341355,0,0.000170678,0.000426694,0.000170678,0,4.27E-05,4.27E-05,0.000128008,0.000213347,0.000170678,8.53E-05,8.53E-05,0.000128008,0.005034989,0.000426694,0,0,0.000256016,8.53E-05,0.000170678,0.000170678,8.53E-05,8.53E-05,0.000597372,0,0,Dung_Saprotroph-Endophyte-Litter_Saprotroph-Undefined_Saprotroph
Fungal_Parasite-Litter_Saprotroph,0,0,0,0,8.53E-05,0,0,4.27E-05,0,0,8.53E-05,0,4.27E-05,4.27E-05,0,0.000170678,0.000426694,0,0,0.000256016,0,0,0.000298686,0,8.53E-05,4.27E-05,0,0.001194743,4.27E-05,0,0,8.53E-05,0.000426694,8.53E-05,0.000384025,0.000213347,0.002474825,0.000938727,0.00499232,0,0.000170678,0,0.000170678,0.003242874,0,0,0.000128008,0,0,0,0.000170678,0.000128008,0.003370882,0.001237413,0.000640041,0,8.53E-05,0,0,4.27E-05,0,0.000256016,8.53E-05,4.27E-05,0.000512033,0,0.000128008,4.27E-05,0,4.27E-05,0.000128008,0.000128008,0,0,0,0,8.53E-05,8.53E-05,0,0,0.000128008,0,8.53E-05,0,0,0,0,0,0.000256016,0,0,0.000213347,0.000170678,0,0,8.53E-05,Fungal_Parasite-Litter_Saprotroph
